iter	Passed	Remaining
199	18878	75513
200	18968	75401
201	19029	75176
202	19119	75064
203	19214	74973
204	19313	74896
205	19356	74605
206	19443	74485
207	19523	74338
208	19600	74181
209	19777	74401
210	19856	74251
211	20037	74480
212	20153	74463
213	20246	74362
214	20496	74836
215	20583	74712
216	20621	74409
217	20807	74641
218	20987	74846
219	21247	75333
220	21516	75841
221	21709	76081
222	21833	76076
223	21946	76028
224	22107	76148
225	22146	75847
226	22264	75815
227	22384	75794
228	22505	75770
229	22617	75718
230	22650	75404
231	22739	75275
232	22832	75161
233	22930	75061
234	23025	74955
235	23129	74875
236	23214	74738
237	23306	74620
238	23390	74477
239	23482	74362
240	23594	74307
241	23686	74190
242	23770	74050
243	23888	74014
244	24050	74115
245	24144	74002
246	24396	74375
247	24510	74322
248	24601	74199
249	24743	74230
250	24941	74427
251	25093	74482
252	25351	74851
253	25644	75318
254	25797	75369
255	26000	75564
256	26133	75553
257	26314	75680
258	26492	75794
259	26836	76379
260	26945	76293
261	27180	76561
262	27459	76949
263	27590	76919
264	27756	76985
265	27794	76695
266	27992	76849
267	28190	76997
268	28416	77220
269	28792	77845
270	28976	77947
271	29029	77695
272	29371	78215
273	29452	78039
274	29703	78308
275	29852	78310
276	30217	78870
277	30307	78711
278	30588	79046
279	30757	79091
280	30942	79173
281	31039	79028
282	31142	78902
283	31222	78716
284	31384	78735
285	31480	78591
286	31573	78437
287	31657	78264
288	31751	78116
289	31797	77849
290	31883	77681
291	31981	77543
292	32002	77220
293	32096	77074
294	32192	76934
295	32252	76708
296	32344	76558
297	32444	76430
298	32668	76590
299	33272	77636
300	33850	78609
301	34159	78950
302	34243	78771
303	34355	78656
304	34475	78558
305	34609	78493
306	34740	78421
307	34842	78282
308	34877	77995
309	35010	77927
310	35116	77799
311	35192	77603
312	35288	77454
313	35352	77234
314	35420	77025
315	35575	77006
316	35611	76728
317	35816	76813
318	36113	77094
319	36176	76875
320	36307	76800
321	36491	76837
322	36641	76798
323	36801	76784
324	36902	76643
325	36963	76420
326	37115	76387
327	37264	76346
328	37468	76417
329	37559	76257
330	37751	76302
331	37904	76265
332	38100	76315
333	38313	76397
334	38438	76303
335	38633	76346
336	38783	76301
337	38965	76317
338	39123	76284
339	39250	76192
340	39380	76104
341	39602	76194
342	39916	76458
343	40093	76457
344	40395	76692
345	40863	77238
346	41011	77177
347	41176	77147
348	41384	77195
349	41498	77068
350	41658	77025
351	41807	76963
352	41878	76757
353	41951	76554
354	42163	76606
355	42288	76498
356	42525	76594
357	42701	76576
358	42806	76431
359	42880	76232
360	43016	76143
361	43104	75967
362	43159	75736
363	43206	75492
364	43302	75334
365	43400	75179
366	43489	75010
367	43579	74842
368	43628	74605
369	43695	74399
370	43788	74240
371	43880	74078
372	43946	73872
373	44040	73714
374	44125	73542
375	44226	73396
376	44327	73251
377	44429	73108
378	44520	72947
379	44622	72805
380	44730	72672
381	44832	72530
382	44922	72368
383	44981	72157
384	45074	72002
385	45102	71743
386	45185	71573
387	45286	71431
388	45381	71281
389	45459	71102
390	45553	70951
391	45641	70790
392	45803	70745
393	46092	70893
394	46166	70710
395	46310	70635
396	46421	70509
397	46489	70318
398	46676	70307
399	46832	70248
400	46925	70095
401	47024	69952
402	47123	69807
403	47211	69648
404	47260	69432
405	47365	69298
406	47527	69247
407	47615	69089
408	47870	69171
409	48015	69095
410	48312	69236
411	48446	69142
412	48634	69124
413	48814	69094
414	48960	69016
415	49176	69036
416	49493	69195
417	49609	69073
418	49905	69200
419	50049	69116
420	50203	69044
421	50356	68971
422	50492	68874
423	50712	68893
424	50822	68759
425	50904	68590
426	51063	68523
427	51383	68671
428	51416	68435
429	51465	68221
430	51648	68185
431	51718	68000
432	51947	68023
433	52181	68052
434	52396	68055
435	52609	68054
436	52721	67923
437	52997	68001
438	53096	67852
439	53169	67669
440	53273	67528
441	53391	67403
442	53589	67380
443	53701	67247
444	53883	67203
445	54121	67227
446	54214	67071
447	54371	66993
448	54407	66767
449	54558	66682
450	54731	66624
451	54854	66504
452	54978	66387
453	55077	66238
454	55145	66053
455	55254	65917
456	55355	65772
457	55431	65597
458	55533	65454
459	55635	65310
460	55735	65166
461	55824	65008
462	55907	64842
463	55999	64689
464	56092	64536
465	56179	64377
466	56270	64223
467	56403	64116
468	56579	64059
469	56674	63910
470	56772	63763
471	56870	63618
472	56919	63418
473	56986	63237
474	57028	63031
475	57128	62889
476	57142	62653
477	57233	62501
478	57320	62346
479	57391	62174
480	57492	62034
481	57558	61857
482	57646	61704
483	57746	61564
484	57839	61417
485	57936	61274
486	58012	61110
487	58098	60955
488	58168	60785
489	58269	60648
490	58369	60509
491	58453	60354
492	58562	60225
493	58682	60108
494	58913	60103
495	58947	59898
496	59072	59785
497	59209	59685
498	59340	59578
499	59529	59529
500	59643	59405
501	59787	59311
502	59840	59126
503	59981	59029
504	60102	58912
505	60296	58866
506	60418	58749
507	60521	58615
508	60664	58519
509	60763	58381
510	60881	58260
511	61049	58188
512	61373	58262
513	61616	58260
514	61737	58141
515	61947	58105
516	62060	57979
517	62242	57916
518	62360	57794
519	62470	57665
520	62615	57567
521	62794	57501
522	62838	57311
523	62984	57215
524	63107	57097
525	63222	56972
526	63351	56859
527	63488	56754
528	63651	56672
529	63757	56539
530	63822	56370
531	64058	56352
532	64097	56160
533	64237	56057
534	64313	55898
535	64665	55979
536	64784	55856
537	64952	55776
538	65054	55640
539	65152	55500
540	65256	55365
541	65326	55201
542	65435	55071
543	65542	54939
544	65634	54795
545	65666	54601
546	65798	54491
547	65886	54344
548	65946	54174
549	66036	54030
550	66129	53887
551	66215	53739
552	66307	53597
553	66353	53417
554	66434	53267
555	66521	53121
556	66621	52986
557	66762	52883
558	66864	52749
559	66925	52584
560	67016	52442
561	67166	52346
562	67396	52312
563	67449	52141
564	67629	52068
565	67707	51917
566	67843	51810
567	67960	51688
568	68126	51603
569	68198	51447
570	68293	51309
571	68412	51189
572	68500	51046
573	68554	50878
574	68647	50739
575	68754	50611
576	68884	50499
577	69008	50383
578	69094	50239
579	69178	50094
580	69213	49914
581	69290	49765
582	69366	49615
583	69460	49478
584	69574	49356
585	69665	49217
586	69798	49108
587	69867	48954
588	69977	48829
589	70145	48745
590	70195	48578
591	70361	48492
592	70518	48399
593	70597	48253
594	70715	48134
595	70851	48027
596	70985	47918
597	71046	47760
598	71143	47626
599	71169	47446
600	71243	47297
601	71408	47210
602	71519	47086
603	71617	46954
604	71706	46816
605	71817	46693
606	71938	46576
607	72025	46437
608	72096	46288
609	72233	46182
610	72269	46011
611	72368	45880
612	72540	45796
613	72818	45778
614	72936	45659
615	73038	45530
616	73242	45464
617	73301	45309
618	73464	45218
619	73566	45089
620	73693	44975
621	73874	44894
622	73931	44738
623	74020	44601
624	74118	44471
625	74265	44369
626	74382	44250
627	74495	44127
628	74528	43958
629	74639	43835
630	74826	43757
631	75037	43692
632	75214	43607
633	75300	43469
634	75372	43324
635	75444	43179
636	75526	43039
637	75622	42908
638	75760	42800
639	75854	42668
640	75930	42525
641	76000	42380
642	76066	42233
643	76146	42093
644	76232	41957
645	76305	41814
646	76396	41681
647	76534	41574
648	76661	41460
649	76802	41355
650	76900	41226
651	76919	41055
652	77083	40961
653	77170	40827
654	77285	40707
655	77358	40565
656	77433	40425
657	77500	40281
658	77545	40125
659	77612	39982
660	77680	39839
661	77757	39700
662	77831	39561
663	77908	39423
664	77991	39288
665	78064	39149
666	78110	38996
667	78179	38855
668	78252	38716
669	78321	38576
670	78392	38436
671	78404	38269
672	78473	38129
673	78540	37988
674	78609	37849
675	78694	37717
676	78740	37567
677	78810	37429
678	78872	37287
679	78954	37155
680	79005	37008
681	79075	36870
682	79144	36733
683	79211	36594
684	79281	36458
685	79358	36324
686	79431	36189
687	79532	36067
688	79638	35947
689	79674	35795
690	79792	35681
691	79890	35558
692	79919	35404
693	79999	35273
694	80078	35142
695	80158	35011
696	80273	34896
697	80343	34761
698	80446	34641
699	80535	34515
700	80613	34384
701	80741	34274
702	80796	34134
703	80888	34009
704	80982	33886
705	81131	33785
706	81253	33673
707	81294	33528
708	81390	33405
709	81503	33290
710	81608	33171
711	81753	33068
712	81805	32928
713	81905	32808
714	81998	32684
715	82067	32551
716	82167	32431
717	82283	32317
718	82324	32174
719	82370	32032
720	82480	31916
721	82545	31783
722	82571	31635
723	82647	31506
724	82760	31391
725	82893	31284
726	82991	31164
727	83059	31033
728	83128	30902
729	83209	30776
730	83300	30653
731	83346	30514
732	83429	30389
733	83500	30260
734	83586	30136
735	83668	30011
736	83748	29885
737	83841	29764
738	84002	29667
739	84081	29541
740	84210	29433
741	84354	29330
742	84445	29209
743	84512	29079
744	84586	28952
745	84660	28825
746	84746	28702
747	84824	28577
748	84891	28448
749	84961	28320
750	85027	28191
751	85101	28065
752	85171	27937
753	85238	27809
754	85313	27684
755	85380	27556
756	85452	27430
757	85517	27302
758	85582	27174
759	85647	27046
760	85684	26910
761	85751	26783
762	85817	26656
763	85884	26529
764	85910	26390
765	85976	26264
766	86043	26138
767	86109	26012
768	86198	25893
769	86282	25772
770	86348	25647
771	86428	25525
772	86493	25399
773	86560	25274
774	86608	25144
775	86675	25019
776	86745	24896
777	86817	24773
778	86842	24637
779	86910	24513
780	86984	24391
781	87051	24267
782	87064	24128
783	87134	24006
784	87208	23885
785	87256	23756
786	87358	23643
787	87431	23522
788	87502	23400
789	87583	23281
790	87679	23166
791	87747	23044
792	87821	22924
793	87890	22802
794	87967	22683
795	88037	22562
796	88118	22444
797	88197	22325
798	88266	22204
799	88313	22078
800	88386	21958
801	88497	21848
802	88566	21728
803	88644	21609
804	88693	21484
805	88762	21364
806	88834	21245
807	88910	21127
808	88984	21008
809	89052	20888
810	89111	20767
811	89196	20651
812	89269	20533
813	89335	20413
814	89458	20306
815	89529	20187
816	89610	20071
817	89759	19970
818	89961	19881
819	90075	19772
820	90178	19661
821	90325	19559
822	90484	19460
823	90560	19343
824	90586	19215
825	90624	19090
826	90739	18981
827	90816	18865
828	90984	18767
829	91068	18652
830	91160	18539
831	91258	18427
832	91348	18313
833	91432	18198
834	91536	18088
835	91632	17975
836	91706	17859
837	91809	17748
838	91901	17635
839	92016	17526
840	92118	17415
841	92246	17309
842	92348	17198
843	92398	17078
844	92526	16972
845	92631	16861
846	92713	16747
847	92792	16632
848	92936	16529
849	93017	16414
850	93125	16305
851	93208	16191
852	93291	16077
853	93401	15967
854	93530	15861
855	93657	15755
856	93736	15641
857	93813	15526
858	93886	15410
859	93955	15295
860	94026	15179
861	94050	15056
862	94117	14941
863	94184	14825
864	94254	14710
865	94322	14594
866	94378	14477
867	94446	14362
868	94517	14248
869	94582	14132
870	94650	14018
871	94717	13903
872	94787	13789
873	94854	13674
874	94921	13560
875	94990	13446
876	95057	13331
877	95165	13223
878	95190	13103
879	95214	12983
880	95281	12870
881	95365	12758
882	95439	12645
883	95509	12532
884	95573	12419
885	95642	12306
886	95706	12192
887	95776	12079
888	95862	11969
889	95929	11856
890	95997	11743
891	96063	11630
892	96128	11518
893	96199	11406
894	96266	11293
895	96335	11181
896	96403	11069
897	96470	10957
898	96547	10846
899	96616	10735
900	96681	10623
901	96751	10511
902	96817	10400
903	96886	10288
904	96950	10177
905	97021	10066
906	97088	9955
907	97155	9843
908	97224	9733
909	97292	9622
910	97406	9516
911	97478	9405
912	97556	9296
913	97668	9189
914	97741	9079
915	97788	8967
916	97861	8857
917	97927	8747
918	97975	8635
919	98042	8525
920	98108	8415
921	98179	8305
922	98248	8196
923	98318	8086
924	98388	7977
925	98456	7868
926	98525	7758
927	98594	7649
928	98628	7537
929	98741	7432
930	98809	7323
931	98934	7218
932	99015	7110
933	99083	7001
934	99173	6894
935	99262	6787
936	99337	6679
937	99425	6571
938	99493	6463
939	99685	6362
940	99749	6254
941	99857	6148
942	99938	6040
943	100043	5934
944	100151	5828
945	100245	5722
946	100330	5615
947	100466	5510
948	100541	5403
949	100639	5296
950	100734	5190
951	100820	5083
952	100916	4976
953	100981	4869
954	101062	4762
955	101175	4656
956	101273	4550
957	101386	4444
958	101513	4339
959	101601	4233
960	101670	4126
961	101790	4020
962	101920	3915
963	102016	3809
964	102088	3702
965	102141	3595
966	102261	3489
967	102328	3382
968	102429	3276
969	102537	3171
970	102668	3066
971	102756	2960
972	102880	2854
973	102959	2748
974	103045	2642
975	103124	2535
976	103206	2429
977	103278	2323
978	103342	2216
979	103412	2110
980	103479	2004
981	103549	1898
982	103623	1792
983	103691	1686
984	103765	1580
985	103835	1474
986	103913	1368
987	103980	1262
988	104056	1157
989	104150	1052
990	104219	946
991	104290	841
992	104359	735
993	104385	630
994	104450	524
995	104519	419
996	104585	314
997	104654	209
998	104720	104
999	104790	0
